,molweight,hatommolwt,maxabspartcharge,maxpartcharge,minabspc,minpartcharge,molwt,numrade,numval,fracsp33,heavyatomcount,nhohcount,nocount,aliphcarbocycles,aliphhetcycles,aliphrings,arocarbocycles,arohetcycles,arorings,numhacceptors,numhdonors,numhatoms,numrotbonds,numsatcarbcycles,numsathetcycles,numsatrings,ringcount
0,357.0960852,342.2020000000001,0.48118160363355017,0.3392628341385124,0.3392628341385124,-0.48118160363355017,357.3220000000001,0,134,0.11764705882352941,26,4,9,1,0,1,1,0,1,6,4,9,7,0,0,0,2
1,314.2245802,284.229,0.5074970062918116,0.12741135544006305,0.12741135544006305,-0.5074970062918116,314.46900000000005,0,126,0.6190476190476191,23,1,2,1,1,2,1,0,1,2,1,2,4,0,0,0,3
2,351.204573028,322.21100000000007,0.42212883755653446,0.31624853568161093,0.31624853568161093,-0.42212883755653446,351.4430000000001,0,140,0.5789473684210527,25,2,6,0,0,0,1,0,1,6,2,6,5,0,0,0,1
3,344.173607248,320.21900000000005,0.5057738119339046,0.21111418975234464,0.21111418975234464,-0.5057738119339046,344.41100000000006,0,134,0.3157894736842105,25,4,6,0,0,0,2,0,2,5,4,6,9,0,0,0,2
4,418.174001172,392.23800000000017,0.45980471186544175,0.33650582946275304,0.33650582946275304,-0.45980471186544175,418.44600000000014,0,162,0.42857142857142855,30,1,9,0,1,1,1,0,1,8,1,9,8,0,0,0,2
5,324.183778008,300.232,0.49674293960785865,0.1191244457687318,0.1191244457687318,-0.49674293960785865,324.4240000000001,0,126,0.45,24,1,4,0,3,3,1,1,2,4,1,4,4,0,3,3,5
6,1790.5641062639993,1695.3489999999986,0.5078102858634143,0.3304406966748313,0.3304406966748313,-0.5078102858634143,1793.125,0,668,0.4186046511627907,125,22,36,0,8,8,7,0,7,28,20,39,19,0,3,3,15
7,440.1600045179999,411.1970000000001,0.4695082428999524,0.4695082428999524,0.39276069784082307,-0.39276069784082307,440.42900000000026,0,166,0.7142857142857143,30,4,8,4,0,4,0,0,0,6,4,9,4,3,0,3,4
8,443.14598927591,420.2480000000003,0.872576035629524,0.2512350919803347,0.2512350919803347,-0.872576035629524,443.4320000000002,0,170,0.4090909090909091,32,6,10,3,0,3,1,0,1,8,5,10,2,1,0,1,4
9,244.080769484,232.111,0.39356684310032825,0.2878781797929572,0.2878781797929572,-0.39356684310032825,244.20700000000002,0,94,0.625,17,5,9,0,1,1,0,1,1,8,4,9,3,0,1,1,2
10,435.051854504,418.30400000000014,0.47822703201771594,0.3620751467724121,0.3620751467724121,-0.47822703201771594,435.44000000000017,0,154,0.46153846153846156,28,5,13,0,1,1,0,1,1,10,4,15,7,0,1,1,2
11,746.3349355600003,696.5270000000003,0.49674293960785865,0.3943465294963554,0.3943465294963554,-0.49674293960785865,746.9270000000005,0,284,0.45,53,4,12,0,5,5,2,2,4,10,4,13,8,0,5,5,9
12,492.21078060399986,460.2690000000003,0.479712131669052,0.32806586375914176,0.32806586375914176,-0.479712131669052,492.5250000000004,0,192,0.4583333333333333,35,4,11,0,1,1,1,0,1,7,4,11,11,0,1,1,2
13,476.2006098439998,444.22300000000024,0.5042598930766835,0.3232284756062487,0.3232284756062487,-0.5042598930766835,476.47900000000027,0,188,0.3,33,16,13,0,0,0,2,0,2,8,8,13,6,0,0,0,2
14,383.15149190000005,358.2700000000001,0.476539132320026,0.3529633260800998,0.3529633260800998,-0.476539132320026,383.4700000000001,0,144,0.7058823529411765,26,3,8,0,3,3,0,0,0,6,3,9,5,0,2,2,3
15,412.3341306479999,368.30600000000015,0.39266957014162285,0.08113023624950191,0.08113023624950191,-0.39266957014162285,412.65800000000024,0,168,0.7142857142857143,30,2,2,3,0,3,0,0,0,2,2,2,5,3,0,3,3
